,Suburb,Rooms,Type,Method,SellerG,Date,Distance,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname
24973,Chelsea,3,h,VB,Area,21/10/2017,27,3,1,2,,,Kingston City Council,-38.04057,145.12369,South-Eastern Metropolitan
17059,Keilor,3,h,S,O'Brien,27/5/2017,14.5,3,1,1,589,1965,Brimbank City Council,-37.7143,144.8315,Western Metropolitan
13787,Surrey Hills,3,h,VB,Jellis,6/5/2017,11.2,,,,,,Boroondara City Council,,,Southern Metropolitan
6417,Malvern East,4,h,S,Marshall,16/4/2016,11.2,4,2,2,334,1920,Stonnington City Council,-37.8743,145.0588,Southern Metropolitan
4158,Fairfield,2,h,S,Jellis,7/5/2016,5.8,2,1,2,537,1950,Darebin City Council,-37.7689,145.0177,Northern Metropolitan
11924,Oakleigh,3,u,S,Buxton,15/10/2016,14,3,1,2,340,1930,Monash City Council,-37.8968,145.0983,Southern Metropolitan
28362,Balwyn,4,h,VB,Jellis,25/11/2017,7.9,,,,,,Boroondara City Council,,,Southern Metropolitan
25971,Glen Iris,3,t,S,Jellis,28/10/2017,7.3,,,,,,Boroondara City Council,,,Southern Metropolitan
26662,Melton South,3,h,S,HAR,4/11/2017,29.8,3,1,6,731,1970,Melton City Council,-37.7131,144.5755,Western Victoria
15222,Preston,3,t,SP,Love,3/6/2017,8.4,,,,,,Darebin City Council,,,Northern Metropolitan
29608,Ivanhoe,3,h,VB,Nelson,6/1/2018,7.8,3,2,1,,1955,Banyule City Council,-37.76319,145.03873,Eastern Metropolitan
5696,Keilor East,3,h,S,Moonee,11/2/2017,12.8,3,1,1,564,,Brimbank City Council,-37.7445,144.8511,Western Metropolitan
25596,Bentleigh East,3,h,S,Jellis,28/10/2017,13.8,3,1,4,,,Glen Eira City Council,-37.91684,145.06535,Southern Metropolitan
6485,Malvern East,1,u,S,Jellis,27/11/2016,11.2,1,1,1,0,1940,Stonnington City Council,-37.8704,145.0495,Southern Metropolitan
19895,Croydon Hills,4,h,SP,buyMyplace,3/9/2017,23,4,3,4,,1988,Maroondah City Council,-37.76824,145.26384,Eastern Metropolitan
25280,Pascoe Vale,2,u,PI,Nelson,21/10/2017,8.5,2,2,1,,,Moreland City Council,-37.72201,144.94249,Northern Metropolitan
24913,Brighton East,4,h,S,RT,21/10/2017,10.3,4,2,2,708,,Bayside City Council,-37.92507,145.00583,Southern Metropolitan
28511,Carnegie,3,t,S,Gary,25/11/2017,10.1,,,,,,Glen Eira City Council,,,Southern Metropolitan
21379,Mont Albert,3,t,S,Marshall,16/9/2017,10.2,3,2,2,1153,,Boroondara City Council,-37.82055,145.11169,Eastern Metropolitan
10672,Williamstown,3,h,PI,Sweeney,12/11/2016,8,3,2,2,250,,Hobsons Bay City Council,-37.8667,144.903,Western Metropolitan
21117,Croydon,3,h,VB,Carter,16/9/2017,23,3,2,2,,1965,Maroondah City Council,-37.80705,145.27676,Eastern Metropolitan
14007,Brooklyn,3,t,SP,Greg,13/5/2017,10.9,,,,,,Brimbank City Council,,,Western Metropolitan
33847,Truganina,2,t,SP,Biggin,17/3/2018,18.4,,,,,,Melton City Council,,,Western Metropolitan
18389,Altona North,3,t,VB,hockingstuart,15/7/2017,9.4,,,,,,Hobsons Bay City Council,,,Western Metropolitan
22582,Melton West,3,h,S,hockingstuart,23/9/2017,31.7,3,2,2,524,,Melton City Council,-37.66869,144.55666,Northern Victoria
31753,Footscray,2,u,S,Jas,3/3/2018,5.1,,,,,,Maribyrnong City Council,,,Western Metropolitan
24740,Surrey Hills,2,u,VB,Harcourts,14/10/2017,10.2,,,,,,Boroondara City Council,,,Southern Metropolitan
9358,South Yarra,2,u,S,hockingstuart,26/7/2016,3.3,2,2,2,17200,2000,Melbourne City Council,-37.8361,144.9966,Southern Metropolitan
7717,Pascoe Vale,4,h,S,Stockdale,22/5/2016,9.9,4,1,2,485,1960,Moreland City Council,-37.7239,144.9395,Northern Metropolitan
31770,Glen Iris,3,h,S,hockingstuart,3/3/2018,7.3,3,2,2,400,,Boroondara City Council,-37.8557,145.06655,Southern Metropolitan
18704,Reservoir,3,h,S,Barry,15/7/2017,12,3,1,4,545,,Darebin City Council,-37.72561,145.00922,Northern Metropolitan
34056,Bundoora,3,h,S,Barry,24/2/2018,12.1,3,1,2,550,1970,Banyule City Council,-37.6963,145.07767,Northern Metropolitan
17948,Camberwell,3,h,SP,Marshall,12/8/2017,7.7,3,2,2,456,,Boroondara City Council,-37.84349,145.07367,Southern Metropolitan
14465,Keysborough,4,h,S,Barry,1/7/2017,25.2,4,1,2,680,1970,Greater Dandenong City Council,-37.9865,145.16767,South-Eastern Metropolitan
13212,Melbourne,1,u,SP,Biggin,8/4/2017,2.8,1,1,0,0,2010,Melbourne City Council,-37.8122,144.9582,Northern Metropolitan
12166,Ascot Vale,2,h,S,Brad,20/5/2017,5.9,2,1,0,341,,Moonee Valley City Council,-37.7721,144.9113,Western Metropolitan
29956,Viewbank,4,h,S,Fletchers/Fletchers,6/1/2018,8.9,4,1,2,,,Banyule City Council,-37.74056,145.09143,Eastern Metropolitan
20315,Alphington,3,h,S,Jellis,9/9/2017,5.7,3,1,1,268,1994,Darebin City Council,-37.7753,145.0267,Northern Metropolitan
23350,North Melbourne,3,t,S,Jellis,26/8/2017,1.8,3,2,1,,,Melbourne City Council,-37.80372,144.95201,Northern Metropolitan
21128,Deer Park,3,h,SA,HAR,16/9/2017,14.8,3,1,6,534,,Brimbank City Council,-37.75504,144.77314,Western Metropolitan
25688,Brunswick West,5,h,PI,Jellis,28/10/2017,5.2,5,3,2,,2012,Moreland City Council,-37.77432,144.94191,Northern Metropolitan
12738,Essendon,4,t,S,Nelson,20/5/2017,8,4,2,1,230,,Moonee Valley City Council,-37.7547,144.9239,Western Metropolitan
3547,Collingwood,1,u,SP,Woodards,8/10/2016,1.6,1,1,1,0,2005,Yarra City Council,-37.809,144.9911,Northern Metropolitan
28567,Cremorne,2,h,S,Biggin,25/11/2017,2.4,,,,,,Yarra City Council,,,Northern Metropolitan
21168,Essendon North,3,u,S,Brad,16/9/2017,8.2,3,2,1,292,,Moonee Valley City Council,-37.73727,144.8986,Western Metropolitan
22503,Hoppers Crossing,5,h,S,Sweeney,23/9/2017,18.4,,,,,,Wyndham City Council,,,Western Metropolitan
18383,Albanvale,4,h,S,Sweeney,15/7/2017,14,4,3,3,531,,Brimbank City Council,-37.74373,144.77567,Western Metropolitan
7229,North Melbourne,3,h,S,Nelson,10/12/2016,2.3,3,2,1,97,2011,Melbourne City Council,-37.8014,144.949,Northern Metropolitan
1873,Brighton,5,h,VB,Kay,18/6/2016,11.2,4,3,4,1572,1890,Bayside City Council,-37.9233,144.9944,Southern Metropolitan
32689,Lower Plenty,4,h,VB,Jellis,17/2/2018,14.6,4,2,2,971,,Banyule City Council,-37.72338,145.11812,Eastern Metropolitan
2858,Canterbury,2,u,S,Marshall,27/6/2016,9,2,1,2,132,,Boroondara City Council,-37.8234,145.0731,Southern Metropolitan
13102,Kew,1,u,S,hockingstuart,13/5/2017,5.6,1,1,1,0,,Boroondara City Council,-37.8083,145.0382,Southern Metropolitan
20144,Niddrie,3,u,PI,Brad,3/9/2017,10.4,3,2,1,,,Moonee Valley City Council,-37.7372,144.88839,Western Metropolitan
3390,Coburg,1,h,S,Raine,23/4/2016,7.8,1,1,1,108,,Darebin City Council,-37.7554,144.9648,Northern Metropolitan
23222,Ivanhoe,4,h,VB,Barry,26/8/2017,7.8,4,2,2,585,1950,Banyule City Council,-37.75722,145.044,Eastern Metropolitan
27455,Airport West,3,h,S,Meallin,18/11/2017,10.4,3,1,2,609,,Moonee Valley City Council,-37.7227,144.8716,Western Metropolitan
23466,Sunbury,4,h,S,Brad,26/8/2017,31.7,4,2,2,1011,,Hume City Council,-37.5781,144.72383,Western Metropolitan
24818,Abbotsford,3,h,S,Nelson,21/10/2017,3,3,1,,241,,Yarra City Council,-37.80273,144.99646,Northern Metropolitan
3702,Doncaster,3,u,SP,Jellis,27/11/2016,13.9,3,1,2,109,2001,Manningham City Council,-37.7749,145.1138,Eastern Metropolitan
18611,Melton South,4,h,S,Raine,15/7/2017,29.8,4,2,3,655,1975,Melton City Council,-37.69548,144.56775,Western Victoria
33091,Brighton East,4,h,S,Jellis,17/3/2018,10.3,4,2,2,1233,,Bayside City Council,-37.90186,145.01384,Southern Metropolitan
28767,Heathmont,4,h,SP,Barry,25/11/2017,21.3,4,2,3,,1950,Maroondah City Council,-37.8338,145.2468,Eastern Metropolitan
33139,Bundoora,5,h,SP,Barry,17/3/2018,12.1,5,4,2,656,,Banyule City Council,-37.68694,145.079,Northern Metropolitan
23289,Meadow Heights,3,h,SP,Barry,26/8/2017,17.4,3,1,4,572,1980,Hume City Council,-37.65905,144.92347,Northern Metropolitan
26383,Richmond,2,u,S,hockingstuart,28/10/2017,2.4,,,,,,Yarra City Council,,,Northern Metropolitan
28272,Werribee,2,u,SP,YPA,18/11/2017,14.7,,,,,,Wyndham City Council,,,Western Metropolitan
3718,Eaglemont,5,h,S,Nelson,10/9/2016,10.3,3,2,2,963,1925,Banyule City Council,-37.7674,145.0518,Eastern Metropolitan
13615,Richmond,3,h,S,Jellis,22/4/2017,2.6,3,1,1,154,1900,Yarra City Council,-37.8264,145.0123,Northern Metropolitan
240,Altona,2,u,VB,hockingstuart,8/10/2016,13.8,,,,,,Hobsons Bay City Council,,,Western Metropolitan
4747,Glenroy,3,t,SP,Stockdale,3/12/2016,13,3,2,2,244,,Moreland City Council,-37.6969,144.9299,Northern Metropolitan
16339,Hillside,3,h,S,Barry,24/6/2017,18,3,2,2,666,2002,Brimbank City Council,-37.68381,144.73331,Western Metropolitan
24509,Kew,3,u,VB,Fletchers,14/10/2017,5.4,,,,,,Boroondara City Council,,,Southern Metropolitan
32417,Taylors Hill,4,h,VB,YPA,10/3/2018,18,4,2,2,630,2005,Melton City Council,-37.71782,144.75353,Western Metropolitan
31619,Clarinda,5,h,S,Buxton,3/3/2018,17.5,5,3,4,756,,Kingston City Council,-37.93591,145.10489,South-Eastern Metropolitan
15046,Heidelberg Heights,3,h,VB,Miles,3/6/2017,8.8,3,1,1,592,1960,Banyule City Council,-37.73736,145.05603,Eastern Metropolitan
17378,Wantirna,2,h,SP,Barry,27/5/2017,14.7,,,,,,Knox City Council,,,Eastern Metropolitan
12032,Strathmore Heights,3,u,VB,Paul,28/5/2016,12.5,,,,,,Moonee Valley City Council,,,Western Metropolitan
9015,Rosanna,3,u,S,Miles,14/5/2016,11.4,3,2,2,169,2010,Banyule City Council,-37.7415,145.0726,Eastern Metropolitan
14077,Fitzroy,2,u,S,LITTLE,29/4/2017,1.6,,,,,,Yarra City Council,,,Northern Metropolitan
5215,Hawthorn,3,u,S,Jellis,7/11/2016,4.6,3,2,2,189,,Boroondara City Council,-37.8258,145.0446,Southern Metropolitan
14629,St Albans,3,t,SP,YPA,1/7/2017,14,,,,,,Brimbank City Council,,,Western Metropolitan
18935,Doncaster East,4,t,VB,Noel,22/7/2017,14.3,,,,,,Manningham City Council,,,Eastern Metropolitan
5081,Hampton,2,u,PI,hockingstuart,18/6/2016,13.7,2,1,2,153,1970,Bayside City Council,-37.9429,145.0049,Southern Metropolitan
15470,Blackburn,2,h,S,Noel,17/6/2017,13.4,2,1,1,597,,Whitehorse City Council,-37.81561,145.15365,Eastern Metropolitan
22456,Glenroy,3,h,S,Stockdale,23/9/2017,11.2,3,1,1,672,,Moreland City Council,-37.70542,144.92263,Northern Metropolitan
407,Armadale,2,u,S,hockingstuart,10/12/2016,6.3,2,1,1,0,1970,Stonnington City Council,-37.8574,145.0174,Southern Metropolitan
15621,Essendon North,2,h,SP,Nelson,17/6/2017,8.2,2,1,1,173,2009,Moonee Valley City Council,-37.73746,144.90079,Western Metropolitan
8828,Richmond,3,h,S,Jellis,14/5/2016,2.6,3,2,2,389,,Yarra City Council,-37.8214,144.9951,Northern Metropolitan
31431,Altona Meadows,3,h,S,Burnham,3/3/2018,15.5,3,2,1,479,,Hobsons Bay City Council,-37.87502,144.77956,Western Metropolitan
10143,Templestowe Lower,4,h,SP,Zahn,3/9/2016,13.8,4,2,2,657,1978,Manningham City Council,-37.7624,145.1175,Eastern Metropolitan
7644,Pascoe Vale,3,h,S,Raine,7/5/2016,9.9,3,1,1,192,2005,Moreland City Council,-37.7177,144.9321,Northern Metropolitan
24143,Abbotsford,2,h,S,Biggin,14/10/2017,3,2,1,0,,1927,Yarra City Council,-37.80318,145.00067,Northern Metropolitan
6630,Maribyrnong,5,h,S,Changing,28/5/2016,8.7,5,3,5,670,,Maribyrnong City Council,-37.7676,144.9009,Western Metropolitan
21141,Doncaster East,5,h,PI,Jellis,16/9/2017,14.3,5,2,2,,1985,Manningham City Council,-37.77089,145.18256,Eastern Metropolitan
8857,Richmond,1,u,VB,Jellis,16/7/2016,2.6,,,,,,Yarra City Council,,,Northern Metropolitan
9521,St Kilda,2,u,S,Domain,7/11/2016,6.1,2,1,1,0,,Port Phillip City Council,-37.8619,144.9802,Southern Metropolitan
31486,Bentleigh East,2,h,S,Jellis,3/3/2018,13.8,,,,,,Glen Eira City Council,,,Southern Metropolitan
9392,South Yarra,2,u,S,LITTLE,30/7/2016,3.3,2,1,1,0,1969,Melbourne City Council,-37.8453,145.0012,Southern Metropolitan
33112,Brunswick West,4,h,S,Nelson,17/3/2018,5.2,4,2,1,538,,Moreland City Council,-37.76635,144.94464,Northern Metropolitan
7977,Prahran,1,u,SP,Sotheby's,8/10/2016,4.5,2,1,1,443,1970,Stonnington City Council,-37.8493,145.0006,Southern Metropolitan
26619,Bayswater,3,h,SP,hockingstuart,4/11/2017,23.2,3,1,2,721,1965,Knox City Council,-37.852,145.2678,Eastern Metropolitan
7531,Oakleigh South,3,h,S,Ray,8/10/2016,14.7,1,1,2,533,1960,Kingston City Council,-37.9348,145.0836,South-Eastern Metropolitan
13572,Reservoir,5,h,S,Stockdale,20/5/2017,11.2,,,,,,Darebin City Council,,,Northern Metropolitan
3147,Caulfield South,3,h,S,Gary,26/7/2016,9.3,3,1,1,312,1926,Glen Eira City Council,-37.8893,145.0196,Southern Metropolitan
24636,Point Cook,4,h,SP,hockingstuart,14/10/2017,14.7,4,3,2,700,2004,Wyndham City Council,-37.89247,144.73598,Western Metropolitan
8757,Richmond,2,h,S,Biggin,7/5/2016,2.6,2,2,1,220,1920,Yarra City Council,-37.8284,144.9989,Northern Metropolitan
3896,Elwood,2,u,SP,Buxton,18/3/2017,7.7,2,1,1,0,,Port Phillip City Council,-37.8749,144.9799,Southern Metropolitan
28678,Forest Hill,6,h,S,Ray,25/11/2017,15.4,6,3,2,586,,Whitehorse City Council,-37.8413,145.1795,Eastern Metropolitan
34087,Carlton,2,u,S,hockingstuart,24/2/2018,1.6,,,,,,Melbourne City Council,,,Northern Metropolitan
34003,Blackburn,3,h,VB,Fletchers,24/2/2018,13.4,3,2,2,816,,Whitehorse City Council,-37.83178,145.16555,Eastern Metropolitan
5920,Kew,3,h,S,Jellis,10/12/2016,5.6,3,1,2,304,1885,Boroondara City Council,-37.8023,145.0404,Southern Metropolitan
4996,Hampton,2,u,S,Ray,3/9/2016,13.7,2,1,1,0,1975,Bayside City Council,-37.9419,145.0019,Southern Metropolitan
12386,Brunswick,2,u,S,Ray,8/4/2017,5.2,2,1,1,638,1970,Moreland City Council,-37.762,144.9647,Northern Metropolitan
27130,Maidstone,4,h,PI,Biggin,11/11/2017,6.4,4,1,3,757,,Maribyrnong City Council,-37.7863,144.8807,Western Metropolitan
17833,Yarraville,3,t,PI,Jas,8/7/2017,6.3,,,,,,Maribyrnong City Council,,,Western Metropolitan
11587,Kingsville,3,h,S,Jas,18/3/2017,7.8,3,1,1,325,,Maribyrnong City Council,-37.812,144.8804,Western Metropolitan
31627,Coburg,2,u,S,Woodards,3/3/2018,6.7,,,,,,Darebin City Council,,,Northern Metropolitan
20778,Reservoir,3,h,SP,RW,9/9/2017,12,3,1,2,741,,Darebin City Council,-37.70846,145.03039,Northern Metropolitan
7627,Pascoe Vale,3,h,S,Nelson,4/3/2017,9.9,3,1,2,956,,Moreland City Council,-37.7308,144.9397,Northern Metropolitan
3357,Coburg,4,h,S,Nelson,18/3/2017,7.8,4,1,2,370,,Darebin City Council,-37.7431,144.956,Northern Metropolitan
26610,Narre Warren,4,h,SP,Nicholls,30/9/2017,34.1,4,3,4,,1980,Casey City Council,-38.01302,145.30476,South-Eastern Metropolitan
7389,Northcote,3,h,S,Jellis,19/11/2016,5.5,3,1,0,304,1910,Darebin City Council,-37.7642,145.001,Northern Metropolitan
25426,Thornbury,3,h,S,McGrath,21/10/2017,7,3,1,2,,,Darebin City Council,-37.75696,145.01253,Northern Metropolitan
21802,Craigieburn,4,h,S,Barry,19/8/2017,20.6,4,2,2,484,2009,Hume City Council,-37.58012,144.91998,Northern Metropolitan
19767,Balwyn North,3,h,PI,Jellis,3/9/2017,9.7,3,2,3,683,,Boroondara City Council,-37.80273,145.08392,Southern Metropolitan
7813,Port Melbourne,2,u,S,Buxton,7/5/2016,3.8,2,1,1,0,,Melbourne City Council,-37.8434,144.9435,Southern Metropolitan
20079,Lalor,3,h,S,Ray,3/9/2017,16.3,3,1,2,888,,Whittlesea City Council,-37.66075,145.01133,Northern Metropolitan
3216,Clifton Hill,3,h,S,Nelson,7/11/2016,3.4,3,1,0,193,1900,Yarra City Council,-37.7899,144.9984,Northern Metropolitan
12985,Hawthorn East,3,h,S,Noel,20/5/2017,7.5,3,2,1,271,,Boroondara City Council,-37.8256,145.0486,Southern Metropolitan
16463,Oakleigh,5,h,S,HAR,24/6/2017,12.3,5,2,2,546,1935,Monash City Council,-37.90465,145.08894,Southern Metropolitan
31346,Sunbury,4,h,S,YPA,10/2/2018,31.7,4,2,,560,1995,Hume City Council,-37.57868,144.75467,Western Metropolitan
6672,Melbourne,2,u,S,MICM,8/10/2016,2.8,,,,,,Melbourne City Council,,,Northern Metropolitan
31707,Elwood,2,u,S,Chisholm,3/3/2018,7.2,,,,,,Port Phillip City Council,,,Southern Metropolitan
34483,Mentone,2,u,PI,Hodges,24/2/2018,20,,,,,,Kingston City Council,,,South-Eastern Metropolitan
20834,St Kilda,2,u,SP,Gary,9/9/2017,5,2,1,1,,,Port Phillip City Council,-37.86244,144.9832,Southern Metropolitan
11057,Brunswick East,2,t,SP,Jellis,7/11/2016,4.5,,,,,,Moreland City Council,,,Northern Metropolitan
26127,Kurunjang,3,h,S,O'Brien,28/10/2017,31.7,3,2,2,,2010,Melton City Council,-37.6592,144.58495,Northern Victoria
24361,Elwood,1,u,S,Morleys,14/10/2017,7.2,,,,,,Port Phillip City Council,,,Southern Metropolitan
5075,Hampton,2,h,S,Marshall,18/3/2017,13.7,2,1,2,581,,Bayside City Council,-37.9323,145.0225,Southern Metropolitan
21347,Melbourne,4,u,S,Dingle,16/9/2017,0,,,,,,Melbourne City Council,,,Northern Metropolitan
7498,Oak Park,3,h,S,Stockdale,17/9/2016,11.5,3,2,2,382,1960,Moreland City Council,-37.7152,144.9165,Northern Metropolitan
28807,Kew,5,h,VB,Jellis,25/11/2017,5.4,5,2,2,920,1900,Boroondara City Council,-37.8017,145.0419,Southern Metropolitan
24443,Greensborough,3,h,PI,Morrison,14/10/2017,16.1,3,1,1,594,1970,Banyule City Council,-37.70986,145.09941,Northern Metropolitan
20941,Balaclava,1,u,SP,Gary,16/9/2017,6.4,,,,,,Port Phillip City Council,,,Southern Metropolitan
34503,Mill Park,4,h,S,Ray,24/2/2018,17.9,4,2,4,611,,Whittlesea City Council,-37.66653,145.06562,Northern Metropolitan
10888,Yarraville,2,h,PI,Jas,8/10/2016,7,2,1,1,148,2003,Maribyrnong City Council,-37.822,144.89,Western Metropolitan
27216,Northcote,4,h,VB,Nelson,11/11/2017,5.3,4,2,1,,1940,Darebin City Council,-37.7639,144.9862,Northern Metropolitan
30657,Nunawading,3,h,S,Barry,9/12/2017,15.4,3,1,2,703,,Manningham City Council,-37.80981,145.18348,Eastern Metropolitan
3506,Coburg North,3,h,S,hockingstuart,18/3/2017,9.2,3,2,2,310,,Darebin City Council,-37.7305,144.9809,Northern Metropolitan
11502,Heidelberg,3,h,S,Miles,27/11/2016,10.6,3,1,1,827,1952,Banyule City Council,-37.748,145.0625,Eastern Metropolitan
5229,Hawthorn,2,u,VB,hockingstuart,10/9/2016,4.6,,,,,,Boroondara City Council,,,Southern Metropolitan
15380,Williamstown,5,h,S,Sweeney,3/6/2017,6.8,5,2,2,646,,Hobsons Bay City Council,-37.86253,144.88748,Western Metropolitan
22935,Bayswater,2,h,S,Barry,26/8/2017,23.2,2,2,1,,2007,Knox City Council,-37.83938,145.26473,Eastern Metropolitan
26558,Watsonia,3,h,S,Jellis,28/10/2017,14.5,,,,,,Banyule City Council,,,Northern Metropolitan
7035,Newport,4,h,S,Village,6/8/2016,8.4,4,3,2,233,2011,Hobsons Bay City Council,-37.841,144.8874,Western Metropolitan
33067,Blackburn South,3,h,S,Woodards,17/3/2018,13.4,3,2,2,358,,Whitehorse City Council,-37.83551,145.13958,Eastern Metropolitan
14712,Albert Park,3,h,VB,Greg,3/6/2017,3,3,2,1,165,1890,Port Phillip City Council,-37.84152,144.95027,Southern Metropolitan
19415,Eaglemont,4,h,S,Miles,29/7/2017,8.9,4,2,3,1783,,Banyule City Council,-37.76457,145.06555,Eastern Metropolitan
8924,Richmond,3,h,S,RT,24/9/2016,2.6,3,2,2,171,1890,Yarra City Council,-37.8166,144.9987,Northern Metropolitan
32834,Ringwood,3,u,PI,Ray,17/2/2018,19.9,,,,,,Maroondah City Council,,,Eastern Metropolitan
3127,Caulfield South,4,h,S,hockingstuart,14/5/2016,9.3,4,2,2,575,2008,Glen Eira City Council,-37.8993,145.0254,Southern Metropolitan
15594,Eltham,4,h,S,Morrison,17/6/2017,18,,,,,,Banyule City Council,,,Eastern Metropolitan
27519,Bentleigh East,2,u,S,Jellis,18/11/2017,13.8,,,,,,Glen Eira City Council,,,Southern Metropolitan
20488,Doncaster,5,h,S,Jellis,9/9/2017,12.4,5,2,2,726,,Manningham City Council,-37.78133,145.10833,Eastern Metropolitan
16575,Sunshine West,3,u,S,HAR,24/6/2017,10.5,3,1,1,322,,Brimbank City Council,-37.79209,144.82024,Western Metropolitan
22292,Brunswick East,2,u,S,Brad,23/9/2017,4,2,1,1,,,Moreland City Council,-37.76002,144.97571,Northern Metropolitan
17773,Strathmore,4,h,VB,Nelson,8/7/2017,8.2,4,2,2,0,2005,Moonee Valley City Council,-37.73831,144.91114,Western Metropolitan
30321,Epping,3,h,S,Stockdale,9/12/2017,19.6,,,,,,Whittlesea City Council,,,Northern Metropolitan
32546,Coburg,4,h,S,Barry,17/2/2018,6.7,4,2,2,570,1970,Darebin City Council,-37.75383,144.97812,Northern Metropolitan
894,Balwyn,2,h,VB,Marshall,10/9/2016,9.7,,,,,,Boroondara City Council,,,Southern Metropolitan
31524,Brighton East,4,h,S,Marshall,3/3/2018,10.3,4,2,2,612,1930,Bayside City Council,-37.9076,145.02043,Southern Metropolitan
25361,Seddon,3,h,S,Sweeney,21/10/2017,5.1,,,,,,Maribyrnong City Council,,,Western Metropolitan
3459,Coburg North,4,h,S,Nelson,3/12/2016,9.2,4,2,2,661,,Darebin City Council,-37.7246,144.9828,Northern Metropolitan
